         worklat	       value	     chindex	     chlabel	        bini	        binlabel	       ERPset
  [300.0  500.0]	        1.35	           1	         Fp1	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.99	           2	         Fp2	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        3.54	           3	          F7	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.17	           4	          F3	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.84	           5	          Fz	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.20	           6	          F4	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	       -1.66	           7	          F8	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.84	           8	         FC5	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.30	           9	         FC1	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.86	          10	         FC2	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	       -0.06	          11	         FC6	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.38	          12	          T7	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.25	          13	          C3	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.77	          14	          Cz	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.11	          15	          C4	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	       -0.04	          16	          T8	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.96	          17	         TP9	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.25	          18	         CP5	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.36	          19	         CP1	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.61	          20	         CP2	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.58	          21	         CP6	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	       -1.96	          22	        TP10	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.12	          23	          P7	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.45	          24	          P3	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.18	          25	          Pz	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.74	          26	          P4	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.96	          27	          P8	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        3.38	          28	         PO9	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.84	          29	          O1	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.97	          30	          Oz	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.80	          31	          O2	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.63	          32	        PO10	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        3.89	          33	         AF7	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.48	          34	         AF3	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.59	          35	         AF4	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.16	          36	         AF8	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.61	          37	          F5	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.37	          38	          F1	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.38	          39	          F2	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	       -0.35	          40	          F6	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.00	          41	         FT9	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.33	          42	         FT7	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.84	          43	         FC3	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.14	          44	         FC4	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.49	          45	         FT8	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	       -0.85	          46	        FT10	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.19	          47	          C5	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.01	          48	          C1	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	       -0.77	          49	          C2	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	       -0.55	          50	          C6	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.64	          51	         TP7	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.27	          52	         CP3	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.50	          53	         CPz	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.13	          54	         CP4	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.30	          55	         TP8	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.14	          56	          P5	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.56	          57	          P1	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	       -0.36	          58	          P2	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        0.75	          59	          P6	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        2.10	          60	         PO7	          43	neu_H_T_ons_crit	sub1erps_RIDE
  [300.0  500.0]	        1.53	          61	         PO3	          43	neu_H_T_ons_crit	sub1erps_RIDE
