Hem	Region	Electrode
left	anterior	AF3
left	anterior	FP1
left	anterior	F7
left	anterior	F5
left	anterior	F3
left	anterior	FT7
left	anterior	FC5
left	anterior	FC3
left	central	T7
left	central	C5
left	central	C3
left	central	TP7
left	central	CP5
left	central	CP3
left	posterior	P7
left	posterior	P5
left	posterior	P3
left	posterior	PO9
left	posterior	PO7
left	posterior	PO3
medial	anterior	F1
medial	anterior	FZ
medial	anterior	F2
medial	anterior	FC1
medial	anterior	FCZ
medial	anterior	FC2
medial	central	C1
medial	central	CZ
medial	central	C2
medial	central	CP1
medial	central	CPZ
medial	central	CP2
medial	posterior	P1
medial	posterior	PZ
medial	posterior	P2
medial	posterior	O1
medial	posterior	POZ
medial	posterior	O2
right	anterior	AF4
right	anterior	FP2
right	anterior	F4
right	anterior	F6
right	anterior	F8
right	anterior	FC4
right	anterior	FC6
right	anterior	FT8
right	central	C4
right	central	C6
right	central	T8
right	central	CP4
right	central	CP6
right	central	TP8
right	posterior	P4
right	posterior	P6
right	posterior	P8
right	posterior	PO4
right	posterior	PO8
right	posterior	PO10
